time,open,high,low,close,Correlation
2025-06-20,7.1775,7.1845,7.1585,7.1585,-0.44006099416611183
2025-06-23,7.186,7.1896,7.1785,7.1785,-0.4103951867676108
2025-06-24,7.1785,7.1785,7.1708,7.1708,-0.3673099703474372
2025-06-25,7.1708,7.1764,7.1682,7.1759,-0.3542275676362851
2025-06-26,7.1759,7.1759,7.1575,7.1666,-0.3479751060570617
2025-06-27,7.1666,7.1737,7.1663,7.1716,-0.34821681360193324
2025-06-30,7.1716,7.1716,7.1626,7.1631,-0.41177795286906943
2025-07-01,7.1566,7.165,7.1565,7.1642,-0.4534592685367085
2025-07-02,7.1637,7.169,7.1637,7.1644,-0.46428187968510604
2025-07-03,7.1644,7.1707,7.1606,7.1679,-0.50773114614613
2025-07-04,7.1677,7.1687,7.1622,7.164,-0.5140740788094663
2025-07-07,7.164,7.1744,7.164,7.1739,-0.5089448425908023
2025-07-08,7.174,7.1751,7.1704,7.1733,-0.496005971042743
2025-07-09,7.1733,7.183,7.1733,7.1795,-0.4697893635660159
2025-07-10,7.1795,7.1795,7.1743,7.1743,-0.4729813312729544
2025-07-11,7.1743,7.177,7.1668,7.1676,-0.4353879387156986
2025-07-14,7.1676,7.1703,7.1665,7.1665,-0.3700956079769242
2025-07-15,7.1697,7.1748,7.1685,7.1724,-0.34095386747724654
2025-07-16,7.1724,7.1836,7.1724,7.1785,-0.3385853813628386
2025-07-17,7.1795,7.1832,7.1763,7.1827,-0.3394012945642895
2025-07-18,7.1827,7.1827,7.1759,7.1771,-0.3505025299083644
2025-07-21,7.1771,7.1793,7.1745,7.1755,-0.33816286155618935
2025-07-22,7.1755,7.1756,7.1701,7.1743,-0.2693264195910309
2025-07-23,7.1743,7.1743,7.1594,7.1594,-0.24820234686291098
2025-07-24,7.1509,7.1563,7.1491,7.1536,-0.23512880044555753
2025-07-25,7.16,7.1684,7.1584,7.1674,-0.22345458120404904
2025-07-28,7.1674,7.1778,7.1672,7.1773,-0.2708136347661897
2025-07-29,7.1773,7.1792,7.1745,7.1764,-0.253102215942878
2025-07-30,7.1764,7.1935,7.1735,7.1929,-0.2576888750606351
2025-07-31,7.1929,7.2002,7.1903,7.2002,-0.2647699069754438
2025-08-01,7.1997,7.2131,7.1997,7.2111,-0.39576264397032107
2025-08-04,7.2111,7.2111,7.1761,7.1775,-0.3843456965563338
2025-08-05,7.1767,7.1886,7.1764,7.1829,-0.38170059364180287
2025-08-06,7.1895,7.1895,7.1817,7.1817,-0.3937055821891394
2025-08-07,7.1817,7.1882,7.177,7.181,-0.3890962181294537
2025-08-08,7.1805,7.1843,7.1805,7.1834,-0.37845732980483476
2025-08-11,7.1834,7.188,7.1798,7.1876,-0.33476830950525394
2025-08-12,7.1876,7.1908,7.178,7.178,-0.31212063813270574
2025-08-13,7.178,7.1836,7.1733,7.1739,-0.3011745747487149
2025-08-14,7.1739,7.1795,7.1673,7.179,-0.28592249734645214
2025-08-15,7.1799,7.1837,7.1778,7.1812,-0.2762032642632029
2025-08-18,7.1812,7.1853,7.1765,7.1841,-0.3039665659425622
2025-08-19,7.1841,7.1871,7.179,7.1814,-0.26930904346336665
2025-08-20,7.1814,7.1887,7.1751,7.1757,-0.2598903936835293
2025-08-21,7.1761,7.1802,7.1685,7.1796,-0.24671272277373607
2025-08-22,7.1806,7.186,7.1635,7.1646,-0.17341416298493084
2025-08-25,7.1646,7.1674,7.1483,7.1505,-0.1279255003240785
2025-08-26,7.1505,7.162,7.1505,7.1515,-0.09589521295138329
2025-08-27,7.1496,7.1623,7.1453,7.1531,-0.07860670147836164
2025-08-28,7.1531,7.1543,7.1301,7.1301,-0.048541198324487604
2025-08-29,7.1301,7.1336,7.1267,7.1299,0.09730850929869997
2025-09-01,7.1299,7.1372,7.1283,7.1371,0.1461507384794775
2025-09-02,7.1371,7.1492,7.1312,7.1385,0.06698616122357869
2025-09-03,7.1385,7.1479,7.1377,7.141,0.06811082952750086
2025-09-04,7.141,7.1431,7.1383,7.1409,0.035675580045617425
2025-09-05,7.1409,7.1409,7.132,7.132,0.03424522467579705
2025-09-08,7.132,7.1353,7.1287,7.1287,0.024744106499908373
2025-09-09,7.1287,7.1287,7.1204,7.1204,0.04195590099329601
2025-09-10,7.1204,7.13,7.1194,7.1207,0.050732543426787347
2025-09-11,7.1167,7.1257,7.1167,7.1179,0.035039992401906354
2025-09-12,7.1179,7.1245,7.1177,7.1237,0.013527269351038443
2025-09-15,7.1237,7.1238,7.1181,7.1181,0.01931708761651558
2025-09-16,7.1181,7.1186,7.1141,7.1142,-0.06484691764827397
2025-09-17,7.1137,7.1137,7.1028,7.1028,-0.053084679423364034
2025-09-18,7.1028,7.1129,7.1028,7.1116,-0.10943481741544454
2025-09-19,7.1116,7.1174,7.1058,7.1146,-0.18087722823177788
2025-09-22,7.1146,7.1161,7.112,7.1135,-0.22142873177315744
2025-09-23,7.1119,7.115,7.109,7.1111,-0.22876279513188463
2025-09-24,7.1111,7.1315,7.1111,7.131,-0.18152385835451162
2025-09-25,7.131,7.1338,7.1228,7.1333,-0.16263535771067777
2025-09-26,7.1333,7.1373,7.1322,7.1323,-0.12136628756125131
2025-09-29,7.1323,7.1323,7.1169,7.1189,-0.08989200435098296
2025-09-30,7.1189,7.1266,7.1184,7.1185,0.07274232955507068
2025-10-01,7.1185,7.12,7.1185,7.1185,0.14004616325928512
2025-10-02,7.1185,7.119,7.1185,7.1185,0.21559569457157363
2025-10-03,7.1185,7.12,7.1185,7.1185,0.23557051438074056
2025-10-06,7.1185,7.12,7.1185,7.1185,0.2746231028914239
2025-10-07,7.1188,7.12,7.1185,7.1185,0.2861068787829244
2025-10-08,7.1185,7.12,7.1185,7.1185,0.33482251381033223
2025-10-09,7.1185,7.1337,7.1185,7.127,0.38330988136157584
2025-10-10,7.127,7.1335,7.1218,7.1335,0.2547090951763046
2025-10-13,7.1335,7.1335,7.1267,7.1315,0.25979169573205696
2025-10-14,7.1315,7.1425,7.1314,7.1379,0.2572810592254648
2025-10-15,7.1261,7.1283,7.1235,7.1257,0.264166537198814
2025-10-16,7.1257,7.1267,7.1191,7.1225,0.27212346500683876
2025-10-17,7.1225,7.1269,7.1188,7.1259,0.22155695176618737
2025-10-20,7.1259,7.1267,7.1191,7.1191,0.23660556667297378
2025-10-21,7.1191,7.1218,7.1157,7.1213,0.20708979751746695
2025-10-22,7.1213,7.1277,7.1213,7.1252,0.1899048442825369
